Country,State,Year,Month,PredictedTemp
4,218,2013,10,28.994055999999915
4,218,2013,11,28.994055999999915
4,218,2013,12,28.994055999999915
4,218,2014,1,28.994047999999918
4,218,2014,2,28.994047999999918
4,218,2014,3,28.994047999999918
4,218,2014,4,28.994047999999918
4,218,2014,5,28.994055999999915
4,218,2014,6,28.994055999999915
4,218,2014,7,28.994055999999915
4,218,2014,8,28.99405999999992
4,219,2013,9,20.199023999999962
4,219,2013,10,20.199027999999963
4,219,2013,11,20.199035999999964
4,219,2013,12,20.199039999999965
4,219,2014,1,20.199027999999963
4,219,2014,2,20.199027999999963
4,219,2014,3,20.199023999999962
4,219,2014,4,20.199023999999962
4,219,2014,5,20.199023999999962
4,219,2014,6,20.199023999999962
4,219,2014,7,20.199023999999962
4,219,2014,8,20.199023999999962
4,228,2013,9,28.686023999999904
4,228,2013,10,28.686023999999904
4,228,2013,11,28.686023999999904
4,228,2013,12,28.6860279999999
4,228,2014,1,28.6860279999999
4,228,2014,2,28.6860279999999
4,228,2014,3,28.686027999999904
4,228,2014,4,28.6860279999999
4,228,2014,5,28.686031999999898
4,228,2014,6,28.6860279999999
4,228,2014,7,28.6860279999999
4,228,2014,8,28.6860279999999
5,1,2013,9,22.086972000000102
5,1,2013,10,22.086972000000102
5,1,2013,11,22.086972000000102
5,1,2013,12,22.086988000000108
5,1,2014,1,22.086984000000108
5,1,2014,2,22.086984000000108
5,1,2014,3,22.086984000000108
5,1,2014,4,22.086984000000108
5,1,2014,5,22.086988000000108
5,1,2014,6,22.086988000000108
5,1,2014,7,22.086988000000108
5,1,2014,8,22.086988000000108
5,2,2013,9,15.981999999999974
5,2,2013,10,15.981999999999976
5,2,2013,11,15.981999999999976
5,2,2013,12,15.981999999999976
5,2,2014,1,15.981999999999976
5,2,2014,2,15.981999999999976
5,2,2014,3,15.981999999999976
5,2,2014,4,15.981999999999976
5,2,2014,5,15.981999999999976
5,2,2014,6,15.981999999999976
5,2,2014,7,15.981999999999974
5,2,2014,8,15.981999999999976
5,7,2013,9,16.885000000000108
5,7,2013,10,16.885000000000108
5,7,2013,11,16.885000000000108
5,7,2013,12,16.885000000000108
5,7,2014,1,16.885000000000108
5,7,2014,2,16.885000000000108
5,7,2014,3,16.885000000000108
5,7,2014,4,16.885000000000108
5,7,2014,5,16.885000000000108
5,7,2014,6,16.885000000000108
5,7,2014,7,16.885000000000108
5,7,2014,8,16.885000000000108
5,9,2013,9,15.276996000000036
5,9,2013,10,15.276996000000036
5,9,2013,11,15.276996000000036
5,9,2013,12,15.276996000000036
5,9,2014,1,15.276996000000036
5,9,2014,2,15.276996000000036
5,9,2014,3,15.276996000000036
5,9,2014,4,15.276996000000036
5,9,2014,5,15.276996000000036
5,9,2014,6,15.276996000000036
5,9,2014,7,15.276996000000036
5,9,2014,8,15.276996000000036
5,15,2013,9,12.369991999999929
5,15,2013,10,12.369991999999929
5,15,2013,11,12.369991999999929
5,15,2013,12,12.369991999999929
5,15,2014,1,12.36999599999993
5,15,2014,2,12.36999599999993
5,15,2014,3,12.36999599999993
5,15,2014,4,12.36999599999993
5,15,2014,5,12.36999599999993
5,15,2014,6,12.369991999999929
5,15,2014,7,12.369991999999929
5,15,2014,8,12.369991999999929
5,18,2013,9,23.780007999999977
5,18,2013,10,23.780007999999977
5,18,2013,11,23.780007999999977
5,18,2013,12,23.780007999999977
5,18,2014,1,23.78000399999998
5,18,2014,2,23.78000399999998
5,18,2014,3,23.78000399999998
5,18,2014,4,23.78000399999998
5,18,2014,5,23.780007999999977
5,18,2014,6,23.780007999999977
5,18,2014,7,23.780007999999977
5,18,2014,8,23.780007999999977
5,21,2013,9,17.363003999999954
5,21,2013,10,17.363003999999954
5,21,2013,11,17.363003999999954
5,21,2013,12,17.363003999999954
5,21,2014,1,17.363003999999954
5,21,2014,2,17.363003999999954
5,21,2014,3,17.363003999999954
5,21,2014,4,17.363003999999954
5,21,2014,5,17.363003999999954
5,21,2014,6,17.363003999999954
5,21,2014,7,17.363003999999954
5,21,2014,8,17.363003999999954
5,23,2013,9,20.646000000000008
5,23,2013,10,20.646000000000008
5,23,2013,11,20.646000000000008
5,23,2013,12,20.646000000000008
5,23,2014,1,20.646000000000008
5,23,2014,2,20.646000000000008
5,23,2014,3,20.646000000000008
5,23,2014,4,20.646000000000008
5,23,2014,5,20.646000000000008
5,23,2014,6,20.646000000000008
5,23,2014,7,20.646000000000008
5,23,2014,8,20.646000000000008
5,26,2013,9,18.523999999999965
5,26,2013,10,18.523999999999965
5,26,2013,11,18.523999999999965
5,26,2013,12,18.523999999999965
5,26,2014,1,18.523995999999965
5,26,2014,2,18.523995999999965
5,26,2014,3,18.523995999999965
5,26,2014,4,18.523995999999965
5,26,2014,5,18.523995999999965
5,26,2014,6,18.523999999999965
5,26,2014,7,18.523999999999965
5,26,2014,8,18.523999999999965
5,27,2013,9,13.249988
5,27,2013,10,13.249988
5,27,2013,11,13.249988
5,27,2013,12,13.249988
5,27,2014,1,13.249991999999999
5,27,2014,2,13.249991999999999
5,27,2014,3,13.249991999999999
5,27,2014,4,13.249991999999999
5,27,2014,5,13.249991999999999
5,27,2014,6,13.249991999999999
5,27,2014,7,13.249991999999999
5,27,2014,8,13.249988
5,30,2013,9,20.66097200000004
5,30,2013,10,20.66096800000004
5,30,2013,11,20.66096400000004
5,30,2013,12,20.66095600000004
5,30,2014,1,20.660964000000043
5,30,2014,2,20.66096400000004
5,30,2014,3,20.66096800000004
5,30,2014,4,20.660968000000043
5,30,2014,5,20.660968000000043
5,30,2014,6,20.66097200000004
5,30,2014,7,20.66097200000004
5,30,2014,8,20.660972000000044
5,31,2013,9,17.041000000000075
5,31,2013,10,17.041000000000075
5,31,2013,11,17.041000000000075
5,31,2013,12,17.04100000000007
5,31,2014,1,17.04100000000007
5,31,2014,2,17.04100000000007
5,31,2014,3,17.041000000000075
5,31,2014,4,17.04100000000007
5,31,2014,5,17.041000000000075
5,31,2014,6,17.041000000000075
5,31,2014,7,17.041000000000075
5,31,2014,8,17.041000000000075
5,33,2013,9,13.865003999999916
5,33,2013,10,13.865003999999916
5,33,2013,11,13.865003999999916
5,33,2013,12,13.865003999999916
5,33,2014,1,13.865003999999916
5,33,2014,2,13.865003999999916
5,33,2014,3,13.865003999999916
5,33,2014,4,13.865003999999916
5,33,2014,5,13.865003999999916
5,33,2014,6,13.865003999999916
